fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,faixa_qualidade,PC1,PC2
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,red,Alta,-2.2194479838850905,0.6643879825799076
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,red,Baixa,-4.624534668033491,-0.27615275033456405
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,Média,-1.887981127185218,0.9908765831490292
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,Média,-1.887981127185218,0.9908765831490292
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,red,Baixa,-2.397060740182782,1.3101391328968555
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,red,Média,-5.3721717777580515,2.4717354760554033
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,red,Média,-4.187930455802015,0.892102511047462
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,red,Média,-2.9725562179773997,-0.6827780689552458
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,red,Baixa,-2.2126527022288998,-3.320691492681811
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,red,Média,-2.8042531524136463,1.8987976610337258
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,red,Média,-2.0322546440080953,1.3690164617016891
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,red,Média,-2.0780075890830814,-0.2530347270742467
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,red,Média,-0.7789491202398223,-0.03215385478472664
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,red,Média,-3.319540132783884,1.2452620332261617
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,red,Média,-2.688041261028573,-0.4241849071586364
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,red,Média,-2.6992991474585546,-0.4631032407057643
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,red,Média,-0.7608018618902015,1.4255796199242101
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,red,Média,-1.7374928842030228,0.566546499290502
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,red,Média,-2.314655311864255,0.6793551724182982
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,red,Média,-2.3457809785446515,1.8231204112537571
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,red,Média,-1.624016480065654,1.8861757173832072
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,red,Média,-2.5345233002970446,0.372653095131032
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,red,Média,-1.8629421247167837,0.21115594864331808
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,red,Média,-2.1799355317031823,1.3285295976069567
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,red,Média,-2.1788060709301758,1.773266626803851
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,red,Alta,-2.6628903644417745,0.3519956943063711
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,red,Média,-2.861807954551559,-0.02649211352014686
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,Média,-2.9993035706508118,-0.633274164891129
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,Média,-2.9993035706508118,-0.633274164891129
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,red,Média,-2.650763797132251,0.07623410005013435
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,red,Média,-3.28458990145726,-0.80827922038438
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,red,Média,-1.7321294527786468,1.196737030622839
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,red,Média,-4.084865817452398,0.132643321524044
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,red,Média,-2.7107726768527756,0.22392181863338143
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,red,Média,-1.9793543054999647,0.5761421461748653
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,red,Média,-1.9915961024662225,0.5154266616788508
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,red,Baixa,-2.7712429294904495,1.0322868118979218
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,red,Média,-1.8747354991729503,2.2796563283227282
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,Média,-2.676957508555097,1.1976464242287699
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,Média,-2.676957508555097,1.1976464242287699
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,red,Média,-3.5082569216233455,-0.480479597173232
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,red,Média,-2.4851941747946924,-0.22397391693621602
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,red,Baixa,-2.6903102316647627,1.9091050376210867
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,red,Média,-2.3216373617309873,-0.3799752153962561
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,red,Média,-5.903310834956228,5.517526288443017
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,red,Média,-1.6270884513535993,1.0850089421298423
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,red,Média,-6.244147888070533,4.005355104750101
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,red,Média,-1.506239860566788,-0.0190515642585995
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,red,Média,-2.2881268258118372,-0.2311549076729761
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,red,Média,-4.059938273829144,3.145763738462061
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,Média,-2.488987388234666,0.2406564396206951
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,red,Média,-2.3113586489663502,2.8022015025048477
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,red,Média,-2.948514250800293,0.22088142991474582
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,red,Média,-0.6220412908957181,0.9894744172558556
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,red,Média,-4.059938273829144,3.145763738462061
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,red,Média,-4.148704410449392,3.2270489992120694
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,Média,-2.488987388234666,0.2406564396206951
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,red,Baixa,-2.1277010743725,-1.8121587866686522
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,red,Média,-1.8619544129969197,-2.8865740733455363
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,red,Média,-3.5520513036841654,-0.4422164871060584
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,red,Média,-2.4332864742666462,0.3152904583405409
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,red,Média,-3.853291481657317,0.08022268541248974
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,Média,-2.5847004954530277,0.838546148642652
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,red,Média,-2.831147370182612,0.5831754145111412
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,red,Média,-2.4550540184424547,-0.05951670973008831
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,Média,-2.5847004954530277,0.838546148642652
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,Média,-2.1588836256730226,0.7067946104058141
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,red,Média,-2.0713617789017866,0.01588049556555195
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,Média,-2.1588836256730226,0.7067946104058141
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,red,Média,-5.983977574110701,5.574915697571393
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,red,Média,-2.684330858706489,0.5900279295090277
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,red,Média,-1.8422399940560743,1.4772548219982757
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,red,Média,-1.7133175252323172,2.237940515974092
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,red,Média,-3.2396643558193867,1.128500443773327
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,red,Média,-2.3095049998244006,0.7969031330296158
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,red,Média,-2.164986722283869,0.8375322104721341
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,red,Média,-2.13896806174715,1.805651086215179
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,red,Média,-3.2396643558193867,1.128500443773327
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,red,Média,-2.0582381245950203,1.0141378956574292
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,red,Média,-2.7247094891386894,0.6386698359298936
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,red,Média,-2.7451673375161785,0.27937793044122805
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,Média,-2.951148622494226,0.36015180425123794
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,red,Média,-2.1915356388154534,0.3771475447437246
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,red,Média,-4.16156990885373,1.4175679745411467
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,Média,-2.951148622494226,0.36015180425123794
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,red,Média,-3.4232093435628808,0.14165788726658474
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,red,Média,-3.223975192525612,0.33681922043360707
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,red,Média,-1.575471172218186,0.2778089092648193
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,red,Média,-2.9782282933278204,2.010758063432681
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,red,Média,-5.226868600597049,-0.4572346709191599
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,red,Média,-5.20039148601788,-0.48732169079346094
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,red,Alta,-3.8218912153860667,-0.008010864471952905
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,red,Média,-2.1216049293738233,-0.574563167665332
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,red,Média,-1.83043755679054,2.0003476722728672
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,Média,-1.670882499930018,-2.5792545094508244
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,Média,-1.670882499930018,-2.5792545094508244
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,red,Média,-2.2350937874796757,-0.8129470194421001
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,red,Média,-3.704061244209321,0.2923539872019301
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,Média,-3.294026442583764,1.063317211597264
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,Média,-3.3555340736433554,0.9995609795792662
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,red,Média,-2.183105346930039,0.6296894472423488
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,red,Média,-1.8236351579108363,0.5025123102983291
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,red,Média,-1.7453233083681736,0.5260643908970262
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,Média,-3.294026442583764,1.063317211597264
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,Média,-3.3555340736433554,0.9995609795792662
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,red,Média,-1.7658653690744195,-3.622707947748888
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,red,Média,-2.1840635389789824,-0.6147645857809585
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,red,Média,-1.7658653690744195,-3.622707947748888
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,red,Média,-1.4120587816230028,2.0163106069044945
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,red,Média,-2.0667483630352432,-0.9407211655033183
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,red,Média,-3.4939689771937497,2.3914294162803955
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,red,Média,-2.4097541590866163,-0.5085104109750964
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,red,Média,-2.427212159037112,0.537865032323078
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,red,Média,-1.9148020367115004,-0.06875658689546874
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,red,Baixa,-8.107148178706202,9.351792636495626
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,red,Média,-1.9745207397919646,-0.13497853709493227
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,red,Média,-1.9745207397919646,-0.13497853709493227
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,red,Média,-0.8466074548077174,0.8478647324158036
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,red,Média,-0.8673096674873093,0.8358432202750066
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,red,Média,-0.8466074548077174,0.8478647324158036
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,red,Média,-0.8673096674873093,0.8358432202750066
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,red,Média,-2.9682582494338803,-0.14239518166973616
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,red,Média,-2.2179898666986677,0.15378372982668634
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,red,Média,-3.718364263396563,0.2760014044238711
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4,red,Baixa,-3.9671871027690284,0.8390761969054042
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,red,Média,-2.532828070341914,-0.09449060153917792
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,red,Média,-0.6766348916287214,1.3710715151515247
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,red,Média,-0.6600746540518656,1.307546958664012
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,red,Média,-1.9918424320933878,1.2514535592950913
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,red,Média,-1.87474759853838,-0.22163582385326175
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,red,Baixa,-2.1737724232190656,-0.12445753665803858
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,red,Média,-2.7883902968708596,-0.6682625186874911
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5,red,Média,-6.645640478500324,4.260752679704139
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4,red,Baixa,-3.2914111598016085,0.02753912155565499
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,red,Média,-2.5587923041525285,0.5609554481611032
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,red,Média,-2.5587923041525285,0.5609554481611032
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,red,Média,-2.5038406712889048,-0.8644527210031467
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,red,Média,-1.9142145084070403,-0.005097365760939497
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,red,Média,-2.6019267739622096,0.08829085653587215
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,red,Média,-1.9142145084070403,-0.005097365760939497
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,red,Média,-2.7715363027461564,0.18924921386553487
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,red,Média,-3.448665291890325,-0.22125456905240928
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,red,Média,-2.6491850544487114,0.7726985543641044
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,red,Média,-2.6491850544487114,0.7726985543641044
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,5,red,Média,-4.075055248499693,3.8399470168328826
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,red,Média,-2.8291527758439554,0.18077951710051057
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,red,Média,-2.525501811706025,0.1897863265755287
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,red,Média,-2.5969828603686658,0.18260403656072496
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5,red,Média,-1.2134643175819557,1.6147031711573152
7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,5,red,Média,-1.487348821792712,0.9557801031938961
7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,5,red,Média,-3.0714607994461693,0.33069484050899395
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,red,Média,-1.1613141061654422,1.0748612844695922
7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,5,red,Média,-1.080886895085219,1.0481372365168335
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,5,red,Média,-1.2753839048280788,1.4377381894727943
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6,red,Média,-1.8518858594993552,-0.061133313958192444
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,5,red,Média,-1.7930758249834726,0.8044772167916291
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,red,Média,-2.461106105221659,0.19134638953630687
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,red,Média,-2.461106105221659,0.19134638953630687
